# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
IF-MIB	1.3.6.1.2.1.2.2.1.8.13	ifOperStatus.13	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.14	ifOperStatus.14	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.15	ifOperStatus.15	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.16	ifOperStatus.16	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.9.1	ifLastChange.1	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.2	ifLastChange.2	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.3	ifLastChange.3	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.4	ifLastChange.4	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.5	ifLastChange.5	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.6	ifLastChange.6	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.7	ifLastChange.7	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.8	ifLastChange.8	TimeTicks	949110027
IF-MIB	1.3.6.1.2.1.2.2.1.9.9	ifLastChange.9	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.10	ifLastChange.10	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.11	ifLastChange.11	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.12	ifLastChange.12	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.13	ifLastChange.13	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.14	ifLastChange.14	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.15	ifLastChange.15	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.9.16	ifLastChange.16	TimeTicks	949110026
IF-MIB	1.3.6.1.2.1.2.2.1.10.1	ifInOctets.1	Counter32	2220488211
IF-MIB	1.3.6.1.2.1.2.2.1.10.2	ifInOctets.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.3	ifInOctets.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.4	ifInOctets.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.5	ifInOctets.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.6	ifInOctets.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.7	ifInOctets.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.8	ifInOctets.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.9	ifInOctets.9	Counter32	2421943951
IF-MIB	1.3.6.1.2.1.2.2.1.10.10	ifInOctets.10	Counter32	3120051625
IF-MIB	1.3.6.1.2.1.2.2.1.10.11	ifInOctets.11	Counter32	1741600983
IF-MIB	1.3.6.1.2.1.2.2.1.10.12	ifInOctets.12	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.10.13	ifInOctets.13	Counter32	1680786813
IF-MIB	1.3.6.1.2.1.2.2.1.10.14	ifInOctets.14	Counter32	3205012863
IF-MIB	1.3.6.1.2.1.2.2.1.10.15	ifInOctets.15	Counter32	1766125113
IF-MIB	1.3.6.1.2.1.2.2.1.10.16	ifInOctets.16	Counter32	2098301575
IF-MIB	1.3.6.1.2.1.2.2.1.11.1	ifInUcastPkts.1	Counter32	1105103148
